Protein Groups	Gene Name	Organism	Intensity_20190107_QE5_nLC5_DS_QC_MNT_HeLa_FlashPack_02	
P05141,P12235,P12236,Q9H0C2			231844092.923599	
P05141,P12236			98934717.75	
P05161			7633459.92657604	
P05165			0	
P05186			17553775.5979321	
P05187,P09923,P10696			2145304.48157154	
P05187,P10696			7590469.60363472	
P05198			99844535.5	
P05204			112031221.216064	
P05204,Q15651			15473653.1666667	
P05386			138042760	
P05387			479791115	
P05388			28154368.6666667	
P05388,Q8NHW5			321158378.833333	
P05455			88755561.3070661	
P05556			79893559.5833333	
P05771,P17252			4058739.03246038	
P05783			593777236	
P05787			1070426154	
P05787,P08670,P08729,P14136,P19013,P41219,Q6KB66,Q86Y46			1841975.77025197	
